,href,id,name,track_number,album_name,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,https://api.spotify.com/v1/tracks/6CV4BNCI8xjHeYDR8eEriP,6CV4BNCI8xjHeYDR8eEriP,Twist And Shout - Live / Remastered,1,Live At The Hollywood Bowl,2016-09-09,7.38e-05,0.284,0.8220000000000001,1.03e-06,2,0.496,-8.593,1,0.0448,126.46,4,0.609
1,https://api.spotify.com/v1/tracks/6lynokJ0Ilm55qB4FdVeG7,6lynokJ0Ilm55qB4FdVeG7,She's A Woman - Live / Remastered,2,Live At The Hollywood Bowl,2016-09-09,0.007690000000000001,0.19399999999999998,0.884,1.7e-05,9,0.845,-8.205,1,0.0632,175.62,4,0.593
2,https://api.spotify.com/v1/tracks/510F0QzxgNnfAVcCrYG2cv,510F0QzxgNnfAVcCrYG2cv,Dizzy Miss Lizzy - Live / Remastered,3,Live At The Hollywood Bowl,2016-09-09,0.0149,0.42200000000000004,0.8759999999999999,5.9699999999999994e-05,11,0.528,-6.81,0,0.0474,129.718,4,0.716
3,https://api.spotify.com/v1/tracks/2FP07Rr3ZwFmJZXsaj7hjE,2FP07Rr3ZwFmJZXsaj7hjE,Ticket To Ride - Live / Remastered,4,Live At The Hollywood Bowl,2016-09-09,0.00313,0.39799999999999996,0.7759999999999999,0.0,9,0.428,-7.997999999999999,1,0.0391,121.012,4,0.34700000000000003
4,https://api.spotify.com/v1/tracks/0WYxVnp9K6RETCRZbtlGHh,0WYxVnp9K6RETCRZbtlGHh,Can't Buy Me Love - Live / Remastered,5,Live At The Hollywood Bowl,2016-09-09,0.00701,0.20800000000000002,0.8490000000000001,0.0,5,0.8959999999999999,-7.593999999999999,1,0.0596,174.72799999999998,4,0.61
5,https://api.spotify.com/v1/tracks/4hlVL09xDgvkoVSIu2zQwD,4hlVL09xDgvkoVSIu2zQwD,Things We Said Today - Live / Remastered,6,Live At The Hollywood Bowl,2016-09-09,0.0594,0.285,0.622,0.0,5,0.639,-8.355,1,0.0425,71.79,4,0.39799999999999996
6,https://api.spotify.com/v1/tracks/3QiwPPktTczwleIy9jUMpS,3QiwPPktTczwleIy9jUMpS,Roll Over Beethoven - Live / Remastered,7,Live At The Hollywood Bowl,2016-09-09,0.00238,0.20199999999999999,0.816,0.0,2,0.5670000000000001,-7.9510000000000005,1,0.0408,179.604,3,0.6809999999999999
7,https://api.spotify.com/v1/tracks/1dxwZJNoDbXn7zfKR2g1S5,1dxwZJNoDbXn7zfKR2g1S5,Boys - Live / Remastered,8,Live At The Hollywood Bowl,2016-09-09,0.03,0.359,0.941,0.000336,9,0.848,-6.125,1,0.114,106.84100000000001,3,0.626
8,https://api.spotify.com/v1/tracks/0P0Jm9mZi11ETImhECDhpq,0P0Jm9mZi11ETImhECDhpq,A Hard Day's Night - Live / Remastered,9,Live At The Hollywood Bowl,2016-09-09,0.0436,0.271,0.8759999999999999,5.98e-06,0,0.9209999999999999,-7.327000000000001,1,0.0547,134.309,4,0.625
9,https://api.spotify.com/v1/tracks/55jAHaYaZtUImilMnroSna,55jAHaYaZtUImilMnroSna,Help! - Live / Remastered,10,Live At The Hollywood Bowl,2016-09-09,0.024,0.425,0.7759999999999999,0.0,11,0.821,-7.148,0,0.0476,95.65700000000001,4,0.48200000000000004
10,https://api.spotify.com/v1/tracks/7j021TxcicWprdXpCcMBeH,7j021TxcicWprdXpCcMBeH,All My Loving - Live / Remastered,11,Live At The Hollywood Bowl,2016-09-09,0.0255,0.214,0.667,0.0,1,0.914,-8.017000000000001,0,0.0358,169.29,5,0.691
11,https://api.spotify.com/v1/tracks/0GUp9QOezipeh6BOV1kguV,0GUp9QOezipeh6BOV1kguV,She Loves You - Live / Remastered,12,Live At The Hollywood Bowl,2016-09-09,0.183,0.217,0.871,0.0,7,0.654,-8.422,1,0.126,74.486,4,0.5429999999999999
12,https://api.spotify.com/v1/tracks/3gluwLob4WQKYDPDKi09Ql,3gluwLob4WQKYDPDKi09Ql,Long Tall Sally - Live / Remastered,13,Live At The Hollywood Bowl,2016-09-09,0.0373,0.377,0.915,0.0,9,0.6809999999999999,-5.945,0,0.0517,90.833,4,0.652
13,https://api.spotify.com/v1/tracks/4Dw9HFzXqmdJRM8vfc1FId,4Dw9HFzXqmdJRM8vfc1FId,You Can't Do That - Live / Bonus Track,14,Live At The Hollywood Bowl,2016-09-09,0.00231,0.313,0.723,0.0,0,0.8170000000000001,-8.342,1,0.0381,67.295,4,0.65
