,bars_count,beats_count,bpm,href,id,id,instrumentalness,liveness,name,sections_count,segments_count,song_length_seconds,speechiness,tatums_count,time_signature,track_number,release_date,album_name,song_name,acousticness,danceability,energy,loudness,key,mode,tempo,valence,year,month,day,album_number
15,100,400,0.03595712472447853,https://api.spotify.com/v1/tracks/1j9rezdE3YeC7yktZXC1em,1j9rezdE3YeC7yktZXC1em,1j9rezdE3YeC7yktZXC1em,0.0748,0.0625,I Want It All,8,542,185.406,0.0347,800,4,5,2013-09-09,AM,I Want It All,0.000637,0.499,0.81,-5.579,5,1,131.052,0.288,2013,09,09,5
16,115,459,0.031464519127548524,https://api.spotify.com/v1/tracks/5TTGoX70AFrTvuEtqHK37S,5TTGoX70AFrTvuEtqHK37S,5TTGoX70AFrTvuEtqHK37S,0.0887,0.0966,No. 1 Party Anthem,10,753,243.131,0.0297,918,4,6,2013-09-09,AM,No. 1 Party Anthem,0.33,0.505,0.698,-5.563,0,1,115.013,0.599,2013,09,09,5
17,71,282,0.02185934673109748,https://api.spotify.com/v1/tracks/75n7mraeMycQOl2sDGYaTe,75n7mraeMycQOl2sDGYaTe,75n7mraeMycQOl2sDGYaTe,0.196,0.101,Mad Sounds,9,747,215.011,0.03,564,4,7,2013-09-09,AM,Mad Sounds,0.279,0.532,0.462,-10.71,10,1,80.001,0.485,2013,09,09,5
18,74,297,0.02734066468193693,https://api.spotify.com/v1/tracks/4atMrAadB7dS8xn9vfk9PQ,4atMrAadB7dS8xn9vfk9PQ,4atMrAadB7dS8xn9vfk9PQ,0.00126,0.113,Fireside,5,719,181.049,0.056,594,4,8,2013-09-09,AM,Fireside,0.0234,0.538,0.953,-5.611,9,0,100.033,0.74,2013,09,09,5
19,60,242,0.025032635522757977,https://api.spotify.com/v1/tracks/086myS9r57YsLbJpU0TgK9,086myS9r57YsLbJpU0TgK9,086myS9r57YsLbJpU0TgK9,1.13e-05,0.104,Why'd You Only Call Me When You're High?,6,577,161.123,0.0368,484,4,9,2013-09-09,AM,Why'd You Only Call Me When You're High?,0.0483,0.691,0.631,-6.478,2,1,92.004,0.8,2013,09,09,5
20,102,411,0.03548671191006579,https://api.spotify.com/v1/tracks/0NdTUS4UiNYCNn5FgVqKQY,0NdTUS4UiNYCNn5FgVqKQY,0NdTUS4UiNYCNn5FgVqKQY,0.0,0.116,Snap Out Of It,10,578,193.03,0.0336,822,4,10,2013-09-09,AM,Snap Out Of It,0.249,0.728,0.638,-6.455,5,0,130.014,0.872,2013,09,09,5
21,102,411,0.026595434903305213,https://api.spotify.com/v1/tracks/2LGdO5MtFdyphi2EihANZG,2LGdO5MtFdyphi2EihANZG,2LGdO5MtFdyphi2EihANZG,0.00291,0.342,Knee Socks,12,905,257.563,0.033,822,4,11,2013-09-09,AM,Knee Socks,0.123,0.665,0.542,-8.323,11,0,97.975,0.587,2013,09,09,5
22,50,202,0.018301477889640275,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,5XeFesFbtLpXzIVDNQP22n,5XeFesFbtLpXzIVDNQP22n,0.022,0.0974,I Wanna Be Yours,7,485,183.956,0.0256,404,4,12,2013-09-09,AM,I Wanna Be Yours,0.136,0.464,0.417,-9.345,0,0,67.528,0.479,2013,09,09,5
23,114,459,0.03256427720074919,https://api.spotify.com/v1/tracks/5qm8ISXOho1EvFj6e4f4bG,5qm8ISXOho1EvFj6e4f4bG,5qm8ISXOho1EvFj6e4f4bG,0.00236,0.173,She's Thunderstorms,10,818,234.92,0.0329,918,4,1,2011-06-07,Suck It and See,She's Thunderstorms,0.000518,0.505,0.898,-4.906,7,1,118.929,0.731,2011,06,07,4
24,90,358,0.027440519990188865,https://api.spotify.com/v1/tracks/3s4OT5Si1n9TFSNEPjNs0s,3s4OT5Si1n9TFSNEPjNs0s,3s4OT5Si1n9TFSNEPjNs0s,0.0,0.0912,Black Treacle,7,695,217.44,0.0655,716,4,2,2011-06-07,Suck It and See,Black Treacle,0.000821,0.343,0.89,-5.759,7,1,100.061,0.525,2011,06,07,4
25,91,367,0.03399923663839264,https://api.spotify.com/v1/tracks/6YKbXpB4u875ubrI4Terqm,6YKbXpB4u875ubrI4Terqm,6YKbXpB4u875ubrI4Terqm,0.00368,0.317,Brick By Brick,7,503,179.906,0.0528,734,4,3,2011-06-07,Suck It and See,Brick By Brick,0.00123,0.285,0.807,-4.741,2,1,132.206,0.542,2011,06,07,4
26,95,383,0.03538962778982072,https://api.spotify.com/v1/tracks/2s4ZQQsk9c4n13IAUfnIzm,2s4ZQQsk9c4n13IAUfnIzm,2s4ZQQsk9c4n13IAUfnIzm,0.00062,0.0642,The Hellcat Spangled Shalalala,9,584,180.373,0.0507,766,4,4,2011-06-07,Suck It and See,The Hellcat Spangled Shalalala,0.000793,0.449,0.872,-4.992,11,1,130.22,0.788,2011,06,07,4
27,89,359,0.03260565503761911,https://api.spotify.com/v1/tracks/577M06tqh2BwsT1qqZOBM1,577M06tqh2BwsT1qqZOBM1,577M06tqh2BwsT1qqZOBM1,0.278,0.326,Don't Sit Down 'Cause I've Moved Your Chair,7,553,183.506,0.0451,718,4,5,2011-06-07,Suck It and See,Don't Sit Down 'Cause I've Moved Your Chair,0.0191,0.434,0.912,-5.148,9,1,119.729,0.315,2011,06,07,4
28,57,230,0.02696245653769234,https://api.spotify.com/v1/tracks/4sBmtEjCR94FQ3Cq2myI6L,4sBmtEjCR94FQ3Cq2myI6L,4sBmtEjCR94FQ3Cq2myI6L,0.00601,0.136,Library Pictures,6,499,142.173,0.0549,460,4,6,2011-06-07,Suck It and See,Library Pictures,0.000142,0.304,0.939,-5.836,1,1,96.954,0.402,2011,06,07,4
29,123,492,0.03530222145686241,https://api.spotify.com/v1/tracks/3q64P4oQSP2XdhiEivHafZ,3q64P4oQSP2XdhiEivHafZ,3q64P4oQSP2XdhiEivHafZ,0.0181,0.187,All My Own Stunts,9,809,232.28,0.0537,984,4,7,2011-06-07,Suck It and See,All My Own Stunts,0.00135,0.511,0.943,-4.934,2,1,127.283,0.531,2011,06,07,4
30,84,337,0.034511856922238744,https://api.spotify.com/v1/tracks/4pDrMVAsQn0uqo9sb6C8E2,4pDrMVAsQn0uqo9sb6C8E2,4pDrMVAsQn0uqo9sb6C8E2,0.0144,0.0724,Reckless Serenade,9,609,162.746,0.0392,674,4,8,2011-06-07,Suck It and See,Reckless Serenade,0.00037,0.585,0.694,-6.632,2,1,127.966,0.785,2011,06,07,4
31,91,365,0.029837813092668888,https://api.spotify.com/v1/tracks/6NGvyhGjKSKkyN3yc4YNhD,6NGvyhGjKSKkyN3yc4YNhD,6NGvyhGjKSKkyN3yc4YNhD,0.000116,0.468,Piledriver Waltz,9,632,203.88,0.0391,730,4,9,2011-06-07,Suck It and See,Piledriver Waltz,0.00724,0.443,0.865,-4.547,4,1,110.008,0.474,2011,06,07,4
32,132,530,0.046144898463810216,https://api.spotify.com/v1/tracks/7wsEZh68qX7jY0dziXMb0H,7wsEZh68qX7jY0dziXMb0H,7wsEZh68qX7jY0dziXMb0H,0.908,0.136,Love is a Laserquest,8,729,191.426,0.0402,1060,4,10,2011-06-07,Suck It and See,Love is a Laserquest,0.00197,0.349,0.662,-6.873,11,1,169.926,0.554,2011,06,07,4
33,119,479,0.03532667215373224,https://api.spotify.com/v1/tracks/3UZfvX4ky5C4mblUIR0LE1,3UZfvX4ky5C4mblUIR0LE1,3UZfvX4ky5C4mblUIR0LE1,0.114,0.255,Suck It and See,8,710,225.986,0.057,958,4,11,2011-06-07,Suck It and See,Suck It and See,0.00105,0.339,0.932,-5.017,4,1,128.291,0.586,2011,06,07,4
34,143,576,0.037383177570093455,https://api.spotify.com/v1/tracks/0O3xlhTJPTrGevY2FnYUQC,0O3xlhTJPTrGevY2FnYUQC,0O3xlhTJPTrGevY2FnYUQC,0.558,0.145,That's Where You're Wrong,9,863,256.8,0.0638,1152,4,12,2011-06-07,Suck It and See,That's Where You're Wrong,0.000679,0.481,0.883,-5.554,4,1,135.937,0.46,2011,06,07,4
35,94,378,0.03062027937359657,https://api.spotify.com/v1/tracks/0IiQ3gvsK7OTYoDvBUKukm,0IiQ3gvsK7OTYoDvBUKukm,0IiQ3gvsK7OTYoDvBUKukm,0.0552,0.233,My Propeller,5,658,205.746,0.0295,756,4,1,2009-08-25,Humbug,My Propeller,0.052,0.415,0.657,-6.758,9,0,115.752,0.69,2009,08,25,3
36,96,383,0.02839232710333028,https://api.spotify.com/v1/tracks/21sa0bWFqOFEYPtahlt4Lt,21sa0bWFqOFEYPtahlt4Lt,21sa0bWFqOFEYPtahlt4Lt,0.00041,0.239,Crying Lightning,9,723,224.826,0.0461,766,4,2,2009-08-25,Humbug,Crying Lightning,0.0148,0.498,0.885,-4.423,4,0,106.719,0.67,2009,08,25,3
37,108,435,0.03441466586919579,https://api.spotify.com/v1/tracks/141YScqYkYhHPpqWhIBebc,141YScqYkYhHPpqWhIBebc,141YScqYkYhHPpqWhIBebc,2.39e-06,0.226,Dangerous Animals,9,671,210.666,0.18,870,4,3,2009-08-25,Humbug,Dangerous Animals,0.0129,0.34,0.922,-5.189,3,1,125.363,0.532,2009,08,25,3
38,114,457,0.034145350105648856,https://api.spotify.com/v1/tracks/7IUBw7EUgcjzGV6zv9fkLX,7IUBw7EUgcjzGV6zv9fkLX,7IUBw7EUgcjzGV6zv9fkLX,1.11e-05,0.181,Secret Door,8,755,223.066,0.0769,914,4,4,2009-08-25,Humbug,Secret Door,0.0314,0.323,0.806,-6.554,7,0,124.615,0.548,2009,08,25,3
39,102,415,0.0326053309323239,https://api.spotify.com/v1/tracks/7q5KN70dTwTyEEE4BwiXH6,7q5KN70dTwTyEEE4BwiXH6,7q5KN70dTwTyEEE4BwiXH6,0.0673,0.0905,Potion Approaching,8,784,212.133,0.0429,830,4,5,2009-08-25,Humbug,Potion Approaching,0.0062,0.421,0.758,-8.945,4,0,103.659,0.767,2009,08,25,3
40,111,444,0.031153566030825194,https://api.spotify.com/v1/tracks/0NRKxPwH8VdG3Se5YWPqF7,0NRKxPwH8VdG3Se5YWPqF7,0NRKxPwH8VdG3Se5YWPqF7,0.006,0.215,Fire And The Thud,7,834,237.533,0.0388,888,4,6,2009-08-25,Humbug,Fire And The Thud,0.165,0.566,0.61,-11.228,2,1,114.904,0.406,2009,08,25,3
41,136,542,0.04562911777531953,https://api.spotify.com/v1/tracks/3MC4XRbQADJdW9IIIwbe2u,3MC4XRbQADJdW9IIIwbe2u,3MC4XRbQADJdW9IIIwbe2u,0.0,0.328,Cornerstone,9,702,197.973,0.0387,1084,4,7,2009-08-25,Humbug,Cornerstone,0.00764,0.287,0.721,-5.81,9,1,169.252,0.763,2009,08,25,3
42,117,468,0.02751390686895267,https://api.spotify.com/v1/tracks/61OkcfgMfjlJQ7MJPU0HLz,61OkcfgMfjlJQ7MJPU0HLz,61OkcfgMfjlJQ7MJPU0HLz,0.769,0.0975,Dance Little Liar,11,923,283.493,0.0352,936,4,8,2009-08-25,Humbug,Dance Little Liar,0.0586,0.538,0.607,-9.133,1,0,100.158,0.543,2009,08,25,3
43,85,346,0.026151971677263505,https://api.spotify.com/v1/tracks/3oWnxFT2m7atFLTXXFJppc,3oWnxFT2m7atFLTXXFJppc,3oWnxFT2m7atFLTXXFJppc,2.83e-05,0.127,Pretty Visitors,6,752,220.506,0.464,692,4,9,2009-08-25,Humbug,Pretty Visitors,0.0614,0.244,0.896,-5.576,6,0,83.354,0.142,2009,08,25,3
44,137,544,0.02635252901926932,https://api.spotify.com/v1/tracks/2JzFqSq7CDPnY8O4809EAC,2JzFqSq7CDPnY8O4809EAC,2JzFqSq7CDPnY8O4809EAC,0.0834,0.118,The Jeweller's Hands,9,1118,344.053,0.0488,1088,4,10,2009-08-25,Humbug,The Jeweller's Hands,0.137,0.51,0.8,-8.116,0,0,96.935,0.391,2009,08,25,3
45,115,464,0.045422596567069796,https://api.spotify.com/v1/tracks/5rTIpPWeO0IL4HWlGWrz5G,5rTIpPWeO0IL4HWlGWrz5G,5rTIpPWeO0IL4HWlGWrz5G,0.00125,0.237,Brianstorm,8,681,170.253,0.212,928,4,1,2007-04-24,Favourite Worst Nightmare (Standard Version),Brianstorm,8.39e-05,0.421,0.98,-4.229,1,1,165.193,0.435,2007,04,24,2
46,99,400,0.04150066401062417,https://api.spotify.com/v1/tracks/4OkPamOn5GofkOQu64Z4eR,4OkPamOn5GofkOQu64Z4eR,4OkPamOn5GofkOQu64Z4eR,2.23e-05,0.104,Teddy Picker,10,665,160.64,0.112,800,4,2,2007-04-24,Favourite Worst Nightmare (Standard Version),Teddy Picker,0.000413,0.637,0.973,-3.386,9,1,150.223,0.8,2007,04,24,2
47,80,322,0.039831864997191976,https://api.spotify.com/v1/tracks/45QyGXbqTWaFUrIKe2ugs3,45QyGXbqTWaFUrIKe2ugs3,45QyGXbqTWaFUrIKe2ugs3,0.000108,0.145,D Is For Dangerous,7,573,134.733,0.0365,644,4,3,2007-04-24,Favourite Worst Nightmare (Standard Version),D Is For Dangerous,1.05e-05,0.551,0.928,-4.776,1,1,145.057,0.736,2007,04,24,2
48,95,384,0.038222646918299095,https://api.spotify.com/v1/tracks/11DdPGqDsM3ux1gVAqUIln,11DdPGqDsM3ux1gVAqUIln,11DdPGqDsM3ux1gVAqUIln,8.09e-05,0.343,Balaclava,7,674,167.44,0.105,768,4,4,2007-04-24,Favourite Worst Nightmare (Standard Version),Balaclava,0.00168,0.417,0.824,-4.524,11,0,137.836,0.642,2007,04,24,2
